Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1742417322,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1742417323,10,,Aggregated,0.000000,0.000000,340,350,350,350,350,350,350,350,350,350,350,10,0,330.0,315.25938445702195,200.4810394719243,354.68105878680944,43.5
1742417324,20,,Aggregated,0.000000,0.000000,260,300,330,340,350,350,350,350,350,350,350,23,0,260.0,235.457019596968,21.926364861428738,354.68105878680944,42.869565217391305
1742417325,30,,Aggregated,4.000000,0.000000,200,270,300,320,350,350,350,350,350,350,350,46,0,200.0,189.65745773976263,21.926364861428738,354.68105878680944,42.76086956521739
1742417326,40,,Aggregated,10.000000,0.000000,150,250,290,300,330,350,350,350,350,350,350,72,0,150.0,164.2892653665816,21.926364861428738,354.68105878680944,42.708333333333336
1742417327,50,,Aggregated,10.666667,0.000000,150,240,290,300,350,360,380,380,390,390,390,104,0,140.0,159.29886970955593,20.319375209510326,389.94968589395285,42.58653846153846
1742417328,60,,Aggregated,14.250000,0.000000,140,240,290,320,350,380,390,400,430,430,430,139,0,140.0,163.60066520224373,20.319375209510326,425.1835197210312,42.489208633093526
1742417329,70,,Aggregated,15.600000,0.000000,130,200,250,290,350,380,390,400,430,430,430,180,0,120.0,151.8955455213371,16.74985233694315,425.1835197210312,42.455555555555556
1742417330,80,,Aggregated,18.166667,0.000000,150,240,290,320,380,600,860,900,900,900,900,198,0,150.0,187.65056962994012,16.74985233694315,903.1764669343829,42.45454545454545
1742417331,90,,Aggregated,22.142857,0.000000,190,300,350,390,1100,1200,1200,1200,1200,1200,1200,231,0,190.0,322.4271722137928,16.74985233694315,1196.1815869435668,42.467532467532465
1742417332,100,,Aggregated,22.625000,0.000000,250,380,1100,1100,1200,1300,1400,1400,1500,1500,1500,274,0,250.0,470.338551103253,16.74985233694315,1458.91581941396,42.456204379562045
1742417333,100,,Aggregated,22.444444,0.000000,240,380,1000,1100,1200,1300,1400,1400,1500,1500,1500,339,0,240.0,447.87589051268975,16.74985233694315,1458.91581941396,42.45132743362832
1742417334,100,,Aggregated,23.500000,0.000000,220,340,790,1000,1200,1300,1400,1400,1500,1500,1500,382,0,220.0,413.46332840914033,16.74985233694315,1458.91581941396,42.44764397905759
1742417335,100,,Aggregated,29.200000,0.000000,230,350,500,990,1200,1300,1400,1400,1500,1500,1500,430,0,230.0,402.5490238006378,16.74985233694315,1458.91581941396,42.43488372093023
1742417336,100,,Aggregated,32.200000,0.000000,250,390,620,900,1200,1300,1400,1400,1500,1500,1500,463,0,250.0,412.42733229249393,16.74985233694315,1458.91581941396,42.43196544276458
1742417337,100,,Aggregated,35.300000,0.000000,290,510,700,730,1100,1200,1300,1400,1500,1500,1500,512,0,290.0,434.7905773156526,16.74985233694315,1458.91581941396,42.41796875
1742417338,100,,Aggregated,37.500000,0.000000,320,510,630,720,1100,1200,1300,1400,1500,1500,1500,573,0,320.0,429.04107695214617,16.316565684974194,1458.91581941396,42.44153577661431
1742417339,100,,Aggregated,39.300000,0.000000,280,450,580,700,1100,1200,1300,1400,1500,1500,1500,619,0,280.0,399.6212917240111,16.316565684974194,1458.91581941396,42.45880452342488
1742417340,100,,Aggregated,40.700000,0.000000,250,420,540,670,1100,1200,1300,1400,1500,1500,1500,664,0,250.0,380.3447052690548,16.316565684974194,1458.91581941396,42.454819277108435
1742417341,100,,Aggregated,42.300000,0.000000,270,440,550,660,1100,1200,1300,1400,1500,1500,1500,691,0,270.0,387.0394117591091,16.316565684974194,1458.91581941396,42.4616497829233
1742417342,100,,Aggregated,44.900000,0.000000,290,510,650,730,1100,1200,1300,1400,1500,1500,1500,731,0,290.0,419.55223640811755,16.316565684974194,1458.91581941396,42.45964432284542
1742417343,100,,Aggregated,46.400000,0.000000,350,550,730,930,1100,1200,1300,1400,1500,1500,1500,780,0,350.0,455.98939288503084,16.316565684974194,1458.91581941396,42.46153846153846
1742417344,100,,Aggregated,46.000000,0.000000,350,540,720,880,1100,1200,1300,1400,1500,1500,1500,844,0,350.0,447.42781275516967,16.316565684974194,1458.91581941396,42.47274881516588
1742417346,100,,Aggregated,44.300000,0.000000,350,540,710,850,1100,1200,1300,1400,1500,1500,1500,875,0,350.0,446.7258516379765,16.316565684974194,1458.91581941396,42.48342857142857
1742417347,100,,Aggregated,45.900000,0.000000,370,560,720,860,1100,1200,1300,1400,1500,1500,1500,901,0,370.0,457.237206996893,16.316565684974194,1458.91581941396,42.48723640399556
1742417348,100,,Aggregated,44.000000,0.000000,400,640,840,1000,1100,1200,1300,1400,1500,1500,1500,953,0,400.0,494.9593882947175,16.316565684974194,1458.91581941396,42.4900314795383
1742417349,100,,Aggregated,44.000000,0.000000,420,640,830,960,1100,1200,1300,1300,1400,1500,1500,1014,0,420.0,495.3097718688834,16.316565684974194,1458.91581941396,42.4930966469428
1742417350,100,,Aggregated,42.800000,0.000000,390,600,790,940,1100,1200,1300,1300,1400,1500,1500,1050,0,390.0,484.3550972409901,16.316565684974194,1458.91581941396,42.5
1742417351,100,,Aggregated,43.600000,0.000000,420,640,820,920,1100,1200,1300,1300,1400,1500,1500,1086,0,420.0,492.63724248468685,16.316565684974194,1458.91581941396,42.511049723756905
1742417352,100,,Aggregated,42.000000,0.000000,440,660,820,900,1100,1200,1300,1300,1400,1500,1500,1140,0,430.0,501.5246875853719,16.316565684974194,1458.91581941396,42.50877192982456
1742417353,100,,Aggregated,41.500000,0.000000,410,640,790,880,1100,1200,1300,1300,1400,1500,1500,1191,0,410.0,487.7181390306649,16.316565684974194,1458.91581941396,42.507136859781696
1742417354,100,,Aggregated,44.100000,0.000000,380,620,760,880,1100,1200,1300,1300,1400,1500,1500,1230,0,380.0,477.3671595493286,16.316565684974194,1458.91581941396,42.50325203252032
1742417355,100,,Aggregated,45.300000,0.000000,410,620,750,870,1100,1200,1200,1300,1400,1500,1500,1263,0,410.0,481.017931711787,16.316565684974194,1458.91581941396,42.50435471100554
1742417356,100,,Aggregated,44.400000,0.000000,440,680,830,890,1100,1200,1200,1300,1400,1500,1500,1323,0,440.0,499.73092874961196,16.316565684974194,1458.91581941396,42.50566893424036
1742417357,100,,Aggregated,41.700000,0.000000,420,650,800,880,1100,1200,1200,1300,1400,1500,1500,1380,0,420.0,488.3643529067437,16.316565684974194,1458.91581941396,42.51521739130435
1742417358,100,,Aggregated,43.300000,0.000000,400,640,790,880,1100,1200,1200,1300,1400,1500,1500,1419,0,400.0,477.81646531534665,16.316565684974194,1458.91581941396,42.515151515151516
1742417359,100,,Aggregated,47.200000,0.000000,420,630,770,870,1100,1200,1200,1300,1400,1500,1500,1455,0,420.0,478.1962047526261,16.316565684974194,1458.91581941396,42.514089347079036
1742417360,100,,Aggregated,46.100000,0.000000,430,650,800,890,1100,1200,1200,1300,1400,1500,1500,1489,0,430.0,488.7113085278054,16.316565684974194,1458.91581941396,42.519140362659506
