Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1742426528,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1742426529,50,,Aggregated,0.000000,0.000000,680,740,770,800,830,850,860,860,860,860,860,50,0,670.0,675.4902479425073,488.10768499970436,863.2843466475606,57.46
1742426530,100,,Aggregated,0.000000,0.000000,640,710,740,770,800,830,850,860,860,860,860,106,0,640.0,634.1206602629204,162.1533464640379,863.2843466475606,57.56603773584906
1742426531,100,,Aggregated,0.000000,0.000000,560,650,700,740,790,820,850,860,860,860,860,149,0,560.0,463.19724971916054,13.740918599069118,863.2843466475606,57.49664429530201
1742426532,100,,Aggregated,25.000000,0.000000,350,580,650,690,770,800,830,850,860,860,860,204,0,330.0,361.37567228162845,13.740918599069118,863.2843466475606,57.44117647058823
1742426533,100,,Aggregated,40.333333,0.000000,170,510,600,640,740,790,830,850,860,860,860,262,0,170.0,315.07563007327207,13.740918599069118,863.2843466475606,57.5
1742426534,100,,Aggregated,42.250000,0.000000,130,300,550,610,730,780,820,840,860,860,860,305,0,130.0,278.5146545466097,13.740918599069118,863.2843466475606,57.49508196721312
1742426535,100,,Aggregated,43.400000,0.000000,130,190,490,570,710,770,820,840,860,860,860,369,0,130.0,252.40675348354387,13.740918599069118,863.2843466475606,57.447154471544714
1742426536,100,,Aggregated,46.000000,0.000000,120,180,300,530,690,770,810,830,860,860,860,416,0,120.0,231.27558706507372,13.740918599069118,863.2843466475606,57.44230769230769
1742426537,100,,Aggregated,45.857143,0.000000,100,150,210,490,670,760,810,830,860,860,860,468,0,100.0,211.79962389640764,13.118792325258255,863.2843466475606,57.44444444444444
1742426538,100,,Aggregated,47.875000,0.000000,110,160,210,250,640,740,800,830,860,860,860,523,0,110.0,207.1091750846823,13.118792325258255,863.2843466475606,57.48374760994264
1742426539,100,,Aggregated,48.444444,0.000000,110,160,200,230,630,740,800,830,860,860,860,576,0,100.0,194.44037645169172,13.118792325258255,863.2843466475606,57.505208333333336
1742426540,100,,Aggregated,48.000000,0.000000,100,150,190,230,610,730,800,820,860,860,860,619,0,100.0,187.43309316636095,13.118792325258255,863.2843466475606,57.491114701130854
1742426541,100,,Aggregated,54.100000,0.000000,110,160,200,240,590,720,790,820,860,860,860,681,0,110.0,187.45448216577108,13.118792325258255,863.2843466475606,57.50954478707783
1742426542,100,,Aggregated,53.800000,0.000000,99,150,190,230,570,710,790,820,860,860,860,730,0,98,177.33317150747123,13.118792325258255,863.2843466475606,57.51917808219178
1742426543,100,,Aggregated,51.400000,0.000000,99,140,180,220,550,700,780,820,860,860,860,787,0,99,171.30158897820655,13.118792325258255,863.2843466475606,57.50571791613723
1742426544,100,,Aggregated,52.600000,0.000000,93,140,180,200,520,680,780,810,860,860,860,842,0,92,164.63041968860458,12.613006867468357,863.2843466475606,57.510688836104514
1742426545,100,,Aggregated,52.500000,0.000000,87,130,170,190,510,670,780,810,860,860,860,896,0,86,157.84661558843385,12.613006867468357,863.2843466475606,57.503348214285715
1742426546,100,,Aggregated,52.200000,0.000000,86,130,170,190,490,660,770,810,860,860,860,951,0,86,153.4598515105564,12.613006867468357,863.2843466475606,57.4931650893796
1742426547,100,,Aggregated,53.200000,0.000000,86,120,160,180,380,650,770,800,860,860,860,1008,0,86,149.27578476231753,12.613006867468357,863.2843466475606,57.48710317460318
1742426548,100,,Aggregated,52.700000,0.000000,82,120,150,180,310,640,770,800,860,860,860,1067,0,82,143.7860364330044,12.613006867468357,863.2843466475606,57.47610121836926
1742426549,100,,Aggregated,52.700000,0.000000,81,110,140,170,310,630,760,800,860,860,860,1120,0,81,140.01482542121917,3.451116383075714,863.2843466475606,57.464285714285715
1742426550,100,,Aggregated,54.400000,0.000000,79,110,140,170,290,620,760,800,860,860,860,1174,0,79,136.13109319951556,3.451116383075714,863.2843466475606,57.45655877342419
1742426551,100,,Aggregated,53.400000,0.000000,77,110,130,160,270,610,750,800,860,860,860,1235,0,77,132.0826563531691,3.451116383075714,863.2843466475606,57.45748987854251
1742426552,100,,Aggregated,54.300000,0.000000,74,110,130,160,250,600,750,800,860,860,860,1285,0,74,128.60116243420407,3.451116383075714,863.2843466475606,57.463035019455255
1742426553,100,,Aggregated,55.500000,0.000000,76,110,130,150,240,590,740,790,860,860,860,1346,0,76,127.3739050934022,3.451116383075714,863.2843466475606,57.462852897473994
1742426554,100,,Aggregated,55.000000,0.000000,76,110,130,150,230,580,740,790,860,860,860,1398,0,76,125.12173162418843,3.451116383075714,863.2843466475606,57.46709585121602
1742426555,100,,Aggregated,55.500000,0.000000,74,110,130,150,230,570,740,790,860,860,860,1462,0,74,122.19411154467454,3.451116383075714,863.2843466475606,57.45554035567716
1742426556,100,,Aggregated,56.000000,0.000000,72,100,130,140,230,550,730,780,860,860,860,1521,0,72,118.93114236040796,3.451116383075714,863.2843466475606,57.45101906640368
1742426557,100,,Aggregated,55.700000,0.000000,72,100,130,140,220,550,730,780,860,860,860,1572,0,72,117.46655431997894,3.451116383075714,863.2843466475606,57.45610687022901
1742426558,100,,Aggregated,56.300000,0.000000,72,100,130,140,220,540,720,780,860,860,860,1634,0,72,116.98498049605013,3.451116383075714,863.2843466475606,57.44981640146879
1742426559,100,,Aggregated,56.700000,0.000000,72,100,130,140,220,520,720,780,860,860,860,1688,0,72,115.72123933815226,3.451116383075714,863.2843466475606,57.44431279620853
1742426560,100,,Aggregated,55.900000,0.000000,72,100,130,140,210,520,720,780,860,860,860,1745,0,72,115.01336177720296,3.451116383075714,863.2843466475606,57.442406876790834
1742426561,100,,Aggregated,56.700000,0.000000,72,100,130,140,210,510,710,780,860,860,860,1794,0,72,113.66390805471369,3.451116383075714,863.2843466475606,57.44035674470457
1742426562,100,,Aggregated,56.700000,0.000000,72,100,120,140,200,490,710,770,860,860,860,1846,0,72,112.13247860223862,3.451116383075714,863.2843466475606,57.44745395449621
1742426563,100,,Aggregated,56.900000,0.000000,71,100,120,140,200,490,700,770,860,860,860,1905,0,71,110.87593835365428,3.451116383075714,863.2843466475606,57.44251968503937
1742426564,100,,Aggregated,56.100000,0.000000,72,100,120,140,200,470,700,770,860,860,860,1962,0,72,110.24981433056698,3.451116383075714,863.2843466475606,57.44393476044852
1742426565,100,,Aggregated,55.700000,0.000000,71,99,120,140,190,380,690,770,850,860,860,2020,0,71,108.87897353720768,3.451116383075714,863.2843466475606,57.445544554455445
1742426566,100,,Aggregated,56.300000,0.000000,71,98,120,130,190,320,690,770,850,860,860,2071,0,71,107.6972952125147,3.451116383075714,863.2843466475606,57.446644133268954
1742426567,100,,Aggregated,55.900000,0.000000,72,100,120,140,190,310,680,770,850,860,860,2128,0,72,108.02670645604569,3.451116383075714,863.2843466475606,57.44548872180451
1742426568,100,,Aggregated,56.000000,0.000000,72,98,120,130,190,310,680,770,850,860,860,2183,0,72,106.71995384460789,3.451116383075714,863.2843466475606,57.442510306917086
1742426569,100,,Aggregated,54.700000,0.000000,72,98,120,130,180,310,670,760,850,860,860,2233,0,72,105.69878982399217,3.451116383075714,863.2843466475606,57.44514106583072
1742426570,100,,Aggregated,55.300000,0.000000,72,98,120,130,180,300,670,760,850,860,860,2291,0,72,105.01643085534371,3.451116383075714,863.2843466475606,57.43998254037538
1742426571,100,,Aggregated,55.000000,0.000000,71,97,120,130,180,290,670,760,850,860,860,2343,0,71,103.87722981836912,3.451116383075714,863.2843466475606,57.439607341015794
1742426572,100,,Aggregated,54.000000,0.000000,72,97,120,130,180,290,660,760,850,860,860,2399,0,72,103.4828385915848,3.451116383075714,863.2843466475606,57.43809920800334
1742426573,100,,Aggregated,54.000000,0.000000,72,97,120,130,180,270,650,750,850,860,860,2454,0,72,102.8353598070526,3.451116383075714,863.2843466475606,57.43846780766096
1742426574,100,,Aggregated,54.200000,0.000000,71,97,110,130,180,270,650,750,850,860,860,2503,0,71,102.10056256620445,3.451116383075714,863.2843466475606,57.4398721534159
1742426575,100,,Aggregated,55.000000,0.000000,72,97,110,130,170,250,650,750,850,860,860,2562,0,72,101.72997023379554,3.451116383075714,863.2843466475606,57.441061670569866
1742426576,100,,Aggregated,53.600000,0.000000,71,95,110,130,170,250,640,740,850,860,860,2614,0,71,100.77640141396803,3.451116383075714,863.2843466475606,57.43840856924254
1742426577,100,,Aggregated,53.800000,0.000000,72,97,120,130,180,270,640,740,850,860,860,2673,0,72,102.19216362489237,3.451116383075714,863.2843466475606,57.434717545828654
1742426578,100,,Aggregated,53.800000,0.000000,71,96,110,130,180,270,640,740,850,860,860,2720,0,71,101.3474841701442,3.451116383075714,863.2843466475606,57.429779411764706
