Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1742942545,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1742942546,50,,Aggregated,0.000000,0.000000,680,680,680,680,680,680,680,680,680,680,680,2,0,671.5036844834685,674.0279481746256,671.5036844834685,676.5522118657827,63.5
1742942547,100,,Aggregated,0.000000,0.000000,680,680,1400,1400,1400,1400,1400,1400,1400,1400,1400,3,0,680.0,927.7299478029212,671.5036844834685,1435.1339470595121,63.666666666666664
1742942548,150,,Aggregated,0.000000,0.000000,1400,1400,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,0,680.0,1265.7615516800433,671.5036844834685,2279.85636331141,63.5
1742942549,200,,Aggregated,1.000000,0.000000,1400,2300,2300,3300,3300,3300,3300,3300,3300,3300,3300,5,0,1400.0,1674.1357361897826,671.5036844834685,3307.6324742287397,63.6
1742942550,250,,Aggregated,1.000000,0.000000,2300,2300,3300,3300,4500,4500,4500,4500,4500,4500,4500,6,0,1400.0,2143.2703848307333,671.5036844834685,4488.943628035486,63.5
1742942551,250,,Aggregated,1.000000,0.000000,5400,5600,5800,5800,5900,5900,6000,6000,6000,6000,6000,31,0,5400.0,4890.88453124127,671.5036844834685,5971.004134044051,63.774193548387096
1742942552,250,,Aggregated,1.000000,0.000000,5700,5900,6100,6700,6800,6900,7000,7000,7000,7000,7000,44,0,5700.0,5393.867792498151,671.5036844834685,6974.254357628524,63.52272727272727
1742942554,250,,Aggregated,1.000000,0.000000,5800,6000,6100,6700,6900,7000,7100,7100,7100,7100,7100,46,0,5700.0,5465.729223382052,671.5036844834685,7076.7965679988265,63.54347826086956
1742942555,250,,Aggregated,4.428571,0.000000,6800,7300,7500,7600,7800,8000,8200,8200,8200,8200,8200,74,0,6700.0,6297.560070226019,671.5036844834685,8199.142534285784,63.58108108108108
1742942556,250,,Aggregated,5.500000,0.000000,7100,7700,8000,8100,8500,8800,8900,8900,8900,8900,8900,99,4,7100.0,6734.363877797744,671.5036844834685,8931.322192773223,60.95959595959596
1742942557,250,,Aggregated,5.111111,0.000000,7400,7900,8200,8300,8600,8900,9100,9100,9200,9200,9200,114,7,7300.0,6927.124441830082,671.5036844834685,9197.770328260958,59.64912280701754
1742942558,250,,Aggregated,7.400000,0.000000,7400,7900,8200,8300,8700,9000,9100,9200,10000,10000,10000,115,8,7400.0,6953.624063503483,671.5036844834685,9974.580934271216,59.130434782608695
1742942559,250,,Aggregated,9.900000,0.400000,7600,8200,8500,8700,10000,11000,11000,11000,11000,11000,11000,129,22,7600.0,7342.531427502806,671.5036844834685,10988.958952948451,52.713178294573645
1742942560,250,,Aggregated,11.200000,0.700000,7600,8200,8600,8900,10000,11000,11000,12000,12000,12000,12000,133,26,7600.0,7467.46845316506,671.5036844834685,11751.63983553648,51.12781954887218
1742942561,250,,Aggregated,11.200000,0.700000,7600,8200,8600,8900,10000,11000,11000,12000,12000,12000,12000,133,26,7600.0,7467.46845316506,671.5036844834685,11751.63983553648,51.12781954887218
1742942562,250,,Aggregated,11.200000,0.700000,7600,8200,8600,8900,10000,11000,11000,12000,12000,12000,12000,133,26,7600.0,7467.46845316506,671.5036844834685,11751.63983553648,51.12781954887218
1742942563,250,,Aggregated,12.700000,2.600000,8000,8600,10000,11000,12000,15000,15000,15000,15000,15000,15000,153,28,8000.0,8296.426746336852,671.5036844834685,15010.792993940413,51.849673202614376
1742942564,250,,Aggregated,10.200000,2.600000,8300,10000,12000,14000,15000,15000,16000,16000,16000,16000,16000,176,35,8200.0,9189.681241643319,671.5036844834685,15724.131560884416,50.86363636363637
1742942565,250,,Aggregated,10.800000,2.800000,8500,11000,14000,15000,15000,15000,16000,16000,16000,16000,16000,195,39,8500.0,9640.842376706692,671.5036844834685,15724.131560884416,50.815384615384616
1742942566,250,,Aggregated,10.800000,2.800000,8600,11000,14000,15000,15000,15000,16000,16000,16000,16000,16000,204,39,8600.0,9780.09136500951,671.5036844834685,15724.131560884416,51.36764705882353
1742942567,250,,Aggregated,12.000000,3.900000,9000,12000,14000,15000,15000,16000,17000,17000,19000,19000,19000,221,39,9000.0,10146.770237060053,671.5036844834685,19007.26683344692,52.30769230769231
1742942568,250,,Aggregated,10.500000,3.500000,11000,12000,15000,15000,15000,17000,19000,19000,19000,19000,19000,245,39,11000.0,10621.901367182787,671.5036844834685,19007.26683344692,53.38367346938775
1742942569,250,,Aggregated,10.400000,3.200000,11000,13000,15000,15000,16000,19000,20000,20000,20000,20000,20000,279,39,11000.0,10904.753616476919,671.5036844834685,20303.903067484498,54.562724014336915
1742942570,250,,Aggregated,12.800000,3.100000,11000,13000,15000,15000,17000,19000,20000,20000,21000,21000,21000,298,39,11000.0,10995.287960035814,671.5036844834685,20633.348831906915,55.18120805369127
1742942571,250,,Aggregated,14.000000,1.700000,11000,13000,15000,15000,17000,19000,20000,21000,21000,21000,21000,313,39,11000.0,10970.319790723986,671.5036844834685,20794.37511973083,55.575079872204476
1742942572,250,,Aggregated,16.100000,1.300000,11000,13000,15000,15000,16000,19000,20000,21000,21000,21000,21000,329,39,11000.0,10843.39823660166,671.5036844834685,20794.37511973083,55.96048632218845
1742942573,250,,Aggregated,16.100000,1.300000,11000,13000,15000,15000,16000,19000,20000,21000,21000,21000,21000,329,39,11000.0,10843.39823660166,671.5036844834685,20794.37511973083,55.96048632218845
1742942574,250,,Aggregated,16.100000,1.300000,11000,13000,15000,15000,16000,19000,20000,21000,21000,21000,21000,329,39,11000.0,10843.39823660166,671.5036844834685,20794.37511973083,55.96048632218845
1742942575,250,,Aggregated,16.100000,1.300000,11000,13000,15000,15000,16000,19000,20000,21000,21000,21000,21000,329,39,11000.0,10843.39823660166,671.5036844834685,20794.37511973083,55.96048632218845
1742942576,250,,Aggregated,16.100000,1.300000,11000,13000,15000,15000,16000,19000,20000,21000,21000,21000,21000,329,39,11000.0,10843.39823660166,671.5036844834685,20794.37511973083,55.96048632218845
1742942577,250,,Aggregated,16.100000,1.300000,11000,13000,15000,15000,16000,19000,20000,21000,21000,21000,21000,329,39,11000.0,10843.39823660166,671.5036844834685,20794.37511973083,55.96048632218845
1742942578,250,,Aggregated,12.500000,0.000000,11000,13000,15000,15000,16000,19000,20000,21000,29000,29000,29000,331,40,11000.0,10899.222219900264,671.5036844834685,28976.370917633176,55.81268882175227
1742942579,250,,Aggregated,11.100000,0.000000,11000,13000,15000,15000,17000,20000,21000,26000,29000,29000,29000,360,40,11000.0,11199.962949920962,671.5036844834685,29462.436425499618,56.416666666666664
1742942580,250,,Aggregated,8.700000,0.100000,11000,13000,14000,15000,17000,20000,21000,26000,29000,29000,29000,386,40,11000.0,11355.87330157941,671.5036844834685,29462.436425499618,56.8860103626943
1742942581,250,,Aggregated,8.300000,0.100000,11000,13000,14000,15000,17000,20000,21000,26000,29000,29000,29000,399,40,11000.0,11385.801887088326,671.5036844834685,29462.436425499618,57.08771929824562
1742942582,250,,Aggregated,7.900000,0.100000,11000,13000,14000,15000,17000,20000,21000,26000,29000,29000,29000,415,40,11000.0,11404.455702621713,671.5036844834685,29462.436425499618,57.31566265060241
1742942583,250,,Aggregated,8.900000,0.100000,11000,13000,14000,15000,17000,20000,21000,26000,29000,29000,29000,432,40,11000.0,11518.941500047395,671.5036844834685,29462.436425499618,57.54398148148148
1742942584,250,,Aggregated,8.900000,0.100000,11000,13000,14000,15000,17000,20000,21000,26000,29000,29000,29000,434,41,11000.0,11513.08774344048,671.5036844834685,29462.436425499618,57.42857142857143
1742942585,250,,Aggregated,9.900000,0.100000,11000,13000,14000,15000,17000,20000,26000,28000,29000,29000,29000,443,41,11000.0,11633.619524155896,671.5036844834685,29462.436425499618,57.55304740406321
1742942586,250,,Aggregated,10.500000,0.200000,12000,13000,14000,15000,18000,21000,29000,29000,36000,36000,36000,461,41,12000.0,12140.280996192723,671.5036844834685,36357.53424651921,57.76572668112798
