Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1742317488,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1742317489,50,,Aggregated,0.000000,0.000000,730,790,830,850,900,910,930,930,930,930,930,50,0,720.0,721.264965031296,521.0674488916993,927.5019182823598,57.54
1742317490,100,,Aggregated,0.000000,0.000000,700,760,790,820,860,890,910,920,930,930,930,105,0,700.0,674.7615138645328,19.584947731345892,927.5019182823598,57.55238095238095
1742317491,150,,Aggregated,38.000000,0.000000,690,760,800,820,870,910,930,940,950,950,950,144,0,690.0,675.5861709114267,19.584947731345892,954.8137909732759,57.53472222222222
1742317492,200,,Aggregated,45.500000,0.000000,740,830,900,940,1000,1100,1300,1400,1900,1900,1900,179,0,740.0,755.7111985502796,19.584947731345892,1908.5492808371782,57.597765363128495
1742317493,250,,Aggregated,45.000000,0.000000,880,1100,1300,1400,1700,1800,1900,1900,1900,1900,1900,261,0,880.0,998.2374641576861,19.584947731345892,1908.5492808371782,57.56704980842912
1742317494,300,,Aggregated,45.000000,0.000000,900,1300,1300,1500,1800,1900,1900,1900,2400,2400,2400,270,0,900.0,1030.3642124248047,19.584947731345892,2351.701373234391,57.54074074074074
1742317495,300,,Aggregated,49.400000,0.000000,1000,1300,1600,1800,2800,2900,2900,2900,3000,3000,3000,303,0,1000.0,1231.0119898722387,19.584947731345892,2968.950476963073,57.56435643564357
1742317496,300,,Aggregated,45.000000,0.000000,1100,1500,1900,2800,3600,3800,3900,4000,4000,4000,4000,339,0,1100.0,1501.586929252124,19.584947731345892,4007.5897350907326,57.5693215339233
1742317497,300,,Aggregated,45.000000,0.000000,1300,1700,2800,2900,3800,4100,4200,4200,4700,4700,4700,361,0,1300.0,1663.3575188739023,19.584947731345892,4714.793805964291,57.57340720221607
1742317498,300,,Aggregated,40.625000,0.000000,1300,1900,2900,3600,4100,5100,5400,5400,5400,5400,5400,383,0,1300.0,1872.041949091659,19.584947731345892,5427.690390963107,57.53524804177545
1742317499,300,,Aggregated,40.111111,0.000000,1500,2900,3900,4200,5500,5600,5800,5800,5800,5800,5800,440,0,1500.0,2355.55813991761,19.584947731345892,5836.416299920529,57.525
1742317500,300,,Aggregated,37.700000,0.000000,1600,3600,4100,5300,5600,6200,6500,6800,6800,6800,6800,465,0,1600.0,2577.8275442079353,19.584947731345892,6784.674069844186,57.51397849462366
1742317501,300,,Aggregated,37.700000,0.000000,1700,3700,4200,5400,5800,6500,6900,7000,7300,7300,7300,479,0,1700.0,2707.278012257217,19.584947731345892,7291.142479982227,57.50939457202505
1742317502,300,,Aggregated,36.600000,0.000000,1900,4000,5400,5500,6500,7800,8000,8000,8100,8100,8100,505,0,1900.0,2977.792785837693,19.584947731345892,8052.924379706383,57.51683168316832
1742317503,300,,Aggregated,34.400000,0.000000,1900,4000,5400,5500,6800,7900,8000,8700,8900,8900,8900,515,0,1900.0,3022.42738790358,4.970937967300415,8857.790085021406,57.50291262135922
1742317504,300,,Aggregated,32.000000,0.000000,1900,4100,5500,5700,7200,8100,9200,9300,9600,9600,9600,538,0,1900.0,3235.641452498547,4.616086836904287,9608.73949015513,57.514869888475836
1742317505,300,,Aggregated,26.200000,0.000000,2800,5100,5600,6200,8000,9500,10000,10000,10000,10000,10000,564,0,2800.0,3526.397851636759,4.616086836904287,10097.15153183788,57.505319148936174
1742317506,300,,Aggregated,26.300000,0.000000,2800,5300,5700,6500,9000,9900,10000,10000,10000,10000,10000,590,0,2800.0,3650.936830165338,3.7157246842980385,10478.391291107982,57.48813559322034
1742317507,300,,Aggregated,25.500000,0.000000,2800,5300,5800,6800,9100,10000,10000,11000,13000,13000,13000,606,0,2800.0,3700.439281630247,3.7157246842980385,13320.638399105519,57.473597359735976
