Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1743012915,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1743012916,6,,Aggregated,0.000000,0.000000,400,610,610,800,800,800,800,800,800,800,800,5,0,400.0,429.76814936846495,145.2343538403511,804.1527960449457,880.8
1743012917,12,,Aggregated,0.000000,0.000000,610,740,800,930,1000,1000,1000,1000,1000,1000,1000,10,0,540.0,570.9470272995532,145.2343538403511,1015.3129156678915,880.2
1743012918,18,,Aggregated,3.000000,0.000000,800,1000,1300,1400,1500,1500,1500,1500,1500,1500,1500,15,0,800.0,843.8176525135835,145.2343538403511,1549.5763346552849,880.8666666666667
1743012919,24,,Aggregated,3.500000,0.000000,1000,1400,1500,1600,1600,1900,1900,1900,1900,1900,1900,19,0,1000.0,1016.8028645413486,145.2343538403511,1856.1680493876338,880.0
1743012920,30,,Aggregated,4.000000,0.000000,1400,1600,1900,2100,2400,2600,2800,2800,2800,2800,2800,24,0,1300.0,1313.3351542055607,145.2343538403511,2812.58490588516,880.3333333333334
1743012921,36,,Aggregated,4.000000,0.000000,1500,2100,2400,2700,2800,2800,2900,2900,2900,2900,2900,29,0,1500.0,1569.0606566274475,145.2343538403511,2943.850852549076,880.448275862069
1743012922,42,,Aggregated,4.200000,0.000000,1600,2600,2800,2800,3400,3800,4000,4000,4000,4000,4000,34,0,1600.0,1864.3149042995099,145.2343538403511,3984.640314243734,879.9705882352941
1743012923,48,,Aggregated,4.333333,0.000000,2100,2800,2900,3400,4100,4100,4200,4200,4200,4200,4200,38,0,1900.0,2103.3481771959678,145.2343538403511,4163.836073130369,879.421052631579
1743012924,54,,Aggregated,4.428571,0.000000,2400,2800,3600,4000,4200,4400,4800,4800,4800,4800,4800,42,0,2300.0,2330.660784639241,145.2343538403511,4806.940408423543,879.047619047619
1743012925,60,,Aggregated,4.375000,0.000000,2700,3600,4100,4200,5000,5500,5600,5600,5600,5600,5600,47,0,2700.0,2659.248603230461,145.2343538403511,5606.863603927195,878.9148936170212
1743012926,60,,Aggregated,4.444444,0.000000,2800,4000,4200,4600,5600,5600,5700,5900,5900,5900,5900,51,0,2800.0,2895.584967516947,145.2343538403511,5877.797527238727,878.5490196078431
1743012927,60,,Aggregated,4.400000,0.000000,2900,4100,5000,5500,5900,6600,6800,6900,6900,6900,6900,56,0,2800.0,3220.8238180693506,145.2343538403511,6940.43808337301,878.5357142857143
1743012928,60,,Aggregated,4.500000,0.000000,3400,4400,5600,5600,6800,7000,7000,7000,7000,7000,7000,60,0,3200.0,3472.365971111382,145.2343538403511,7042.320408858359,878.3
1743012929,60,,Aggregated,4.600000,0.000000,3800,5000,5600,6300,7000,7300,7700,8000,8000,8000,8000,65,0,3800.0,3783.7538245635537,145.2343538403511,7956.259610131383,878.0615384615385
1743012930,60,,Aggregated,4.500000,0.000000,4100,5600,6100,6900,7500,8200,8300,8400,8400,8400,8400,69,0,4100.0,4045.17846653049,145.2343538403511,8370.06521038711,877.5797101449275
1743012931,60,,Aggregated,4.600000,0.000000,4200,5600,6900,7000,8300,8400,8700,8900,8900,8900,8900,74,0,4100.0,4349.847202755612,145.2343538403511,8928.28322108835,877.2972972972973
1743012932,60,,Aggregated,4.500000,0.000000,4400,6300,7000,7700,8500,9400,9700,9700,9700,9700,9700,79,0,4400.0,4674.503582376468,145.2343538403511,9654.287619516253,877.2784810126582
1743012933,60,,Aggregated,4.500000,0.000000,4800,6800,7500,8300,9100,9700,9700,10000,10000,10000,10000,83,0,4800.0,4920.9294829360515,145.2343538403511,9975.577027536929,877.5542168674699
1743012934,60,,Aggregated,4.500000,0.000000,5300,7000,8200,8300,9700,10000,11000,11000,11000,11000,11000,87,0,5300.0,5178.906326246416,145.2343538403511,10868.314632214606,877.5747126436781
1743012935,60,,Aggregated,4.500000,0.000000,5600,7100,8300,8900,10000,11000,11000,11000,11000,11000,11000,92,0,5600.0,5499.997711892281,145.2343538403511,11091.031201183796,877.5652173913044
